date,algorithm,num_trades,total_energy_mwh,revenue_to_date,daily_revenue
2024-01-01,Naive Benchmark,1,168.0,-1855.6972249999994,-1855.6972249999994
2024-01-02,Naive Benchmark,3,503.99999999999994,8995.808477,10851.505702
2024-01-04,Naive Benchmark,2,336.0,9338.894582,343.0861050000003
2024-01-06,Naive Benchmark,2,336.0,9867.663469000001,528.7688870000002
2024-01-07,Naive Benchmark,1,168.0,4906.686569,-4960.976900000001
2024-01-08,Naive Benchmark,3,503.99999999999994,27115.305804999996,22208.619235999995
2024-01-09,Naive Benchmark,2,336.0,34520.90291399999,7405.597108999995
2024-01-10,Naive Benchmark,2,336.0,36571.75564399999,2050.8527299999987
2024-01-11,Naive Benchmark,1,168.0,32202.74624399999,-4369.009399999999
2024-01-12,Naive Benchmark,2,336.0,36955.33596199999,4752.589717999999
2024-01-13,Naive Benchmark,3,503.99999999999994,96160.25405099998,59204.91808899999
2024-01-14,Naive Benchmark,1,168.0,101619.92862599998,5459.674574999997
2024-01-15,Naive Benchmark,2,336.0,98133.68344499997,-3486.2451810000057
2024-01-16,Naive Benchmark,3,503.99999999999994,138119.30082699997,39985.617382
2024-01-18,Naive Benchmark,1,168.0,129170.66532699997,-8948.635500000004
2024-01-19,Naive Benchmark,1,167.99999999999997,139970.52129399998,10799.85596700001
2024-01-23,Naive Benchmark,2,336.0,141910.77437399997,1940.253079999995
2024-01-25,Naive Benchmark,2,336.0,146787.115936,4876.341562000016
2024-01-26,Naive Benchmark,2,336.0,151409.40896899998,4622.2930329999945
2024-01-27,Naive Benchmark,2,336.0,161082.333073,9672.924104000005
2024-01-28,Naive Benchmark,1,168.0,168004.140973,6921.807900000014
2024-01-29,Naive Benchmark,3,503.99999999999994,177982.323673,9978.182700000005
2024-01-30,Naive Benchmark,2,336.0,180960.62531700003,2978.301644000021
2024-02-02,Naive Benchmark,2,336.0,187722.21619400004,6761.59087700001
2024-02-03,Naive Benchmark,2,336.0,200064.21926600006,12342.003072000021
2024-02-04,Naive Benchmark,2,336.0,201691.89028600004,1627.6710199999798
2024-02-07,Naive Benchmark,2,336.0,206299.16580500006,4607.275519000017
2024-02-08,Naive Benchmark,2,336.0,213292.06089100006,6992.895086000004
2024-02-09,Naive Benchmark,1,168.0,208599.62556600006,-4692.435324999999
2024-02-10,Naive Benchmark,3,503.99999999999994,226453.59053700007,17853.96497100001
2024-02-11,Naive Benchmark,2,336.0,241243.58866400007,14789.998126999999
2024-02-12,Naive Benchmark,2,336.0,255150.57716000007,13906.988496000005
2024-02-13,Naive Benchmark,2,336.0,267898.68881900003,12748.111658999958
2024-02-14,Naive Benchmark,2,336.0,280781.30896100006,12882.620142000029
2024-02-15,Naive Benchmark,1,168.0,283761.05173600005,2979.7427749999915
2024-02-16,Naive Benchmark,3,503.99999999999994,292507.51830100006,8746.46656500001
2024-02-17,Naive Benchmark,2,336.0,300453.05932600005,7945.541024999984
2024-02-18,Naive Benchmark,2,336.0,316729.4996600001,16276.440334000043
2024-02-19,Naive Benchmark,2,336.0,320284.22892000014,3554.729260000051
2024-02-21,Naive Benchmark,2,336.0,329862.34831000015,9578.119390000007
2024-02-22,Naive Benchmark,2,336.0,342262.97848600015,12400.630176000006
2024-02-23,Naive Benchmark,2,336.0,346798.88806000014,4535.90957399999
2024-02-24,Naive Benchmark,2,336.0,357239.2125060001,10440.324445999984
2024-02-25,Naive Benchmark,2,336.0,368693.35705700016,11454.144551000034
2024-02-27,Naive Benchmark,2,336.0,377728.5652790002,9035.208222000045
2024-02-28,Naive Benchmark,2,336.0,387861.9651980002,10133.399918999989
2024-02-29,Naive Benchmark,2,336.0,406419.5519470002,18557.58674900001
2024-03-01,Naive Benchmark,2,336.0,422576.6999100002,16157.147962999996
2024-03-02,Naive Benchmark,2,336.0,432044.63672500016,9467.936814999965
2024-03-03,Naive Benchmark,1,168.0,445607.9053500002,13563.268625000026
2024-03-04,Naive Benchmark,3,503.99999999999994,470699.02922300017,25091.123872999975
2024-03-05,Naive Benchmark,2,336.0,486771.40175400017,16072.372531
2024-03-06,Naive Benchmark,2,336.0,492292.42941400013,5521.027659999963
2024-03-07,Naive Benchmark,1,168.0,496580.90196400014,4288.472550000006
2024-03-08,Naive Benchmark,3,503.99999999999994,519883.4308420001,23302.528877999983
2024-03-09,Naive Benchmark,2,336.0,535883.3375790002,15999.906737000041
2024-03-10,Naive Benchmark,2,336.0,547834.1222100002,11950.784631000017
2024-03-11,Naive Benchmark,2,336.0,562314.7325910002,14480.610380999977
2024-03-12,Naive Benchmark,1,168.0,563485.1844160001,1170.4518249999965
2024-03-13,Naive Benchmark,3,503.99999999999994,581252.0533870002,17766.868971000076
2024-03-14,Naive Benchmark,2,336.0,589870.8943090002,8618.840922000003
2024-03-15,Naive Benchmark,2,336.0,590871.3962630002,1000.5019539999776
2024-03-16,Naive Benchmark,2,336.0,594528.2056590002,3656.809395999997
2024-03-17,Naive Benchmark,2,336.0,610511.1935140003,15982.987855000072
2024-03-18,Naive Benchmark,2,336.0,616342.7321160003,5831.538601999986
2024-03-19,Naive Benchmark,2,336.0,625649.2095930002,9306.477476999979
2024-03-20,Naive Benchmark,2,336.0,640823.7579600003,15174.548367000069
2024-03-21,Naive Benchmark,2,336.0,657573.9232350003,16750.165275000036
2024-03-22,Naive Benchmark,2,336.0,666920.4028110004,9346.479576000012
2024-03-23,Naive Benchmark,2,336.0,674649.7067550004,7729.303944000043
2024-03-24,Naive Benchmark,2,336.0,682110.1890900003,7460.48233499995
2024-03-25,Naive Benchmark,2,336.0,695708.3100010003,13598.120910999947
2024-03-26,Naive Benchmark,2,336.0,709861.9709700003,14153.66096899996
2024-03-27,Naive Benchmark,2,336.0,727900.9482970003,18038.977327
2024-03-28,Naive Benchmark,2,336.0,742703.5860870002,14802.63778999995
2024-03-29,Naive Benchmark,1,168.0,754726.4795120002,12022.893425000017
2024-03-30,Naive Benchmark,3,503.99999999999994,761156.3783590002,6429.898846999975
2024-03-31,Naive Benchmark,1,168.0,763454.6237590002,2298.2454000000143
2024-04-01,Naive Benchmark,2,336.0,774697.7574260002,11243.133666999987
2024-04-02,Naive Benchmark,3,503.99999999999994,799857.1007220004,25159.343296000152
2024-04-03,Naive Benchmark,1,168.0,812469.5762720003,12612.475549999974
2024-04-04,Naive Benchmark,2,336.0,829124.3521670003,16654.77589499997
2024-04-05,Naive Benchmark,2,336.0,843195.4538130003,14071.101646000054
2024-04-06,Naive Benchmark,3,503.99999999999994,870486.5612200004,27291.107407000032
2024-04-07,Naive Benchmark,1,168.0,888508.9489200003,18022.387699999963
2024-04-08,Naive Benchmark,2,336.0,903743.1710190004,15234.222099000006
2024-04-09,Naive Benchmark,2,336.0,918872.2860230003,15129.115003999905
2024-04-10,Naive Benchmark,3,503.99999999999994,939052.0164600003,20179.73043700005
2024-04-11,Naive Benchmark,2,336.0,948915.4941060003,9863.477645999985
2024-04-12,Naive Benchmark,2,336.0,959083.9357550002,10168.441648999928
2024-04-13,Naive Benchmark,1,168.0,967996.8923050002,8912.956550000003
2024-04-14,Naive Benchmark,3,503.99999999999994,983178.9531260002,15182.060821000021
2024-04-15,Naive Benchmark,1,168.0,994353.5991260002,11174.64599999995
2024-04-16,Naive Benchmark,2,336.0,1009400.5506970002,15046.951571000041
2024-04-17,Naive Benchmark,3,503.99999999999994,1026905.4398190002,17504.889121999964
2024-04-18,Naive Benchmark,1,168.0,1028081.8073440002,1176.3675250000088
2024-04-19,Naive Benchmark,3,503.99999999999994,1041131.7534050003,13049.946061000112
2024-04-20,Naive Benchmark,2,336.0,1051599.1002790004,10467.346874000039
2024-04-21,Naive Benchmark,2,336.0,1065727.0629720003,14127.96269299998
2024-04-22,Naive Benchmark,2,336.0,1073483.7757170002,7756.71274499991
2024-04-23,Naive Benchmark,2,336.0,1081668.3951290003,8184.619412000058
2024-04-24,Naive Benchmark,2,336.0,1091260.6626590004,9592.26753000007
2024-04-25,Naive Benchmark,2,336.0,1100798.8512050004,9538.188546000049
2024-04-26,Naive Benchmark,2,336.0,1104679.7597580003,3880.908552999841
2024-04-27,Naive Benchmark,2,336.0,1121266.2151480003,16586.455390000017
2024-04-28,Naive Benchmark,2,336.0,1137376.8245280003,16110.609380000038
2024-04-29,Naive Benchmark,2,336.0,1147769.1515380002,10392.327009999892
2024-04-30,Naive Benchmark,2,336.0,1158989.3752530003,11220.223715000087
2024-05-01,Naive Benchmark,1,168.0,1164137.8262530002,5148.4509999998845
2024-05-02,Naive Benchmark,3,503.99999999999994,1176782.9115310002,12645.085277999984
2024-05-03,Naive Benchmark,2,336.0,1191489.8327380002,14706.921207000036
2024-05-04,Naive Benchmark,2,336.0,1197937.5552020003,6447.722464000108
2024-05-05,Naive Benchmark,2,336.0,1211929.5829620003,13992.027759999968
2024-05-06,Naive Benchmark,2,336.0,1224401.3951030003,12471.81214100006
2024-05-07,Naive Benchmark,1,168.0,1234767.4809030003,10366.0858
2024-05-08,Naive Benchmark,3,503.99999999999994,1253972.9424410001,19205.4615379998
2024-05-09,Naive Benchmark,2,336.0,1261756.232843,7783.290401999839
2024-05-10,Naive Benchmark,2,336.0,1268754.4591740002,6998.226331000216
2024-05-11,Naive Benchmark,2,336.0,1281601.028385,12846.569210999878
2024-05-12,Naive Benchmark,2,336.0,1295566.278046,13965.24966099998
2024-05-13,Naive Benchmark,2,336.0,1299383.5809040002,3817.3028580001555
2024-05-14,Naive Benchmark,2,336.0,1305473.7608390003,6090.179935000138
2024-05-15,Naive Benchmark,2,336.0,1306925.9973700002,1452.2365309998859
2024-05-16,Naive Benchmark,2,336.0,1315607.8312300004,8681.83386000013
2024-05-17,Naive Benchmark,2,336.0,1325113.0662060003,9505.23497599992
2024-05-18,Naive Benchmark,2,336.0,1336644.3390580004,11531.272852000082
2024-05-19,Naive Benchmark,2,336.0,1352508.3772370005,15864.038179000141
2024-05-20,Naive Benchmark,2,336.0,1359233.2057080006,6724.8284710000735
2024-05-21,Naive Benchmark,2,336.0,1369451.5671110004,10218.361402999843
2024-05-22,Naive Benchmark,2,336.0,1380632.2916390004,11180.724527999992
2024-05-23,Naive Benchmark,2,336.0,1397668.3894730003,17036.0978339999
2024-05-24,Naive Benchmark,2,336.0,1406369.1831870002,8700.793713999912
2024-05-25,Naive Benchmark,2,336.0,1418190.2709680002,11821.087780999951
2024-05-26,Naive Benchmark,1,168.0,1429247.1211680002,11056.850199999986
2024-05-27,Naive Benchmark,3,503.99999999999994,1453210.445726,23963.324557999847
2024-05-28,Naive Benchmark,2,336.0,1458928.972526,5718.526800000109
2024-05-29,Naive Benchmark,1,168.0,1465753.1704010002,6824.197875000071
2024-05-30,Naive Benchmark,3,503.99999999999994,1473277.8881430002,7524.717742000008
2024-05-31,Naive Benchmark,2,336.0,1478770.2233080002,5492.335165000055
2024-06-01,Naive Benchmark,2,336.0,1496310.2150450002,17539.991736999946
2024-06-02,Naive Benchmark,2,336.0,1512791.362537,16481.147491999902
2024-06-03,Naive Benchmark,2,336.0,1516495.8758720001,3704.513335000025
2024-06-04,Naive Benchmark,1,168.0,1517061.7741720001,565.8983000000007
2024-06-05,Naive Benchmark,3,503.99999999999994,1523609.988318,6548.2141459998675
2024-06-06,Naive Benchmark,2,336.0,1523707.604369,97.61605100007728
2024-06-07,Naive Benchmark,2,336.0,1526623.881752,2916.2773829998914
2024-06-08,Naive Benchmark,2,336.0,1531363.3424799999,4739.460727999918
2024-06-09,Naive Benchmark,2,336.0,1539304.1089739997,7940.766493999865
2024-06-10,Naive Benchmark,2,336.0,1544079.0663149997,4774.957340999972
2024-06-11,Naive Benchmark,2,336.0,1546024.5066309997,1945.440316000022
2024-06-12,Naive Benchmark,2,336.0,1548460.7065319999,2436.199901000131
2024-06-13,Naive Benchmark,2,336.0,1549571.418288,1110.7117560000625
2024-06-14,Naive Benchmark,2,336.0,1552033.4534989998,2462.035210999893
2024-06-15,Naive Benchmark,2,336.0,1561460.8530249998,9427.399526000023
2024-06-16,Naive Benchmark,1,168.0,1565866.5420999997,4405.689074999886
2024-06-17,Naive Benchmark,2,336.0,1575942.3210499997,10075.778949999949
2024-06-18,Naive Benchmark,3,503.99999999999994,1583671.3986459996,7729.07759599993
2024-06-19,Naive Benchmark,2,336.0,1588729.2310209996,5057.832374999998
2024-06-20,Naive Benchmark,2,336.0,1590267.0614589995,1537.8304379999172
2024-06-21,Naive Benchmark,2,336.0,1594299.8788829995,4032.817424000008
2024-06-22,Naive Benchmark,2,336.0,1597538.8208249996,3238.941942000063
2024-06-23,Naive Benchmark,2,336.0,1602044.6855429995,4505.864717999939
2024-06-27,Naive Benchmark,2,336.0,1604271.3768039995,2226.691261
2024-06-28,Naive Benchmark,2,336.0,1606046.6263609994,1775.2495569998864
2024-06-29,Naive Benchmark,2,336.0,1606884.5624799994,837.9361189999618
2024-06-30,Naive Benchmark,2,336.0,1611143.0826899994,4258.520209999988
2024-07-01,Naive Benchmark,2,336.0,1611979.9580519993,836.8753619999625
2024-07-02,Naive Benchmark,2,336.0,1614330.1013239995,2350.143272000132
2024-07-03,Naive Benchmark,2,336.0,1614999.4206599994,669.3193359998986
2024-07-04,Naive Benchmark,2,336.0,1616192.0623339994,1192.6416740000714
2024-07-05,Naive Benchmark,2,336.0,1618755.8100499995,2563.747716000071
2024-07-06,Naive Benchmark,2,336.0,1621266.4885159994,2510.6784659998957
2024-07-07,Naive Benchmark,2,336.0,1622170.8823799994,904.3938639999833
2024-07-08,Naive Benchmark,2,336.0,1623010.5817659993,839.6993859999347
2024-07-09,Naive Benchmark,2,336.0,1624472.2593259993,1461.677559999982
2024-07-10,Naive Benchmark,2,336.0,1627649.5945699995,3177.335244000191
2024-07-11,Naive Benchmark,2,336.0,1628056.4706149995,406.8760450000409
2024-07-13,Naive Benchmark,2,336.0,1630594.8047429994,2538.334127999842
2024-07-14,Naive Benchmark,2,336.0,1632778.3239539992,2183.5192109998316
2024-07-16,Naive Benchmark,2,336.0,1634004.4275509992,1226.1035970000084
2024-07-17,Naive Benchmark,2,336.0,1634106.1475019993,101.71995100006461
2024-07-19,Naive Benchmark,2,336.0,1635269.9608089994,1163.8133070000913
2024-07-20,Naive Benchmark,2,336.0,1636220.0307619993,950.0699529999401
2024-07-23,Naive Benchmark,2,336.0,1683823.3471249992,47603.316362999845
2024-07-24,Naive Benchmark,2,336.0,1696667.597172999,12844.2500479999
2024-07-26,Naive Benchmark,2,336.0,1697100.673034999,433.07586199999787
2024-07-27,Naive Benchmark,2,336.0,1700888.422526999,3787.749491999857
2024-07-28,Naive Benchmark,2,336.0,1705696.5446439988,4808.1221169999335
2024-07-29,Naive Benchmark,2,336.0,1707069.825720999,1373.2810770000797
2024-07-30,Naive Benchmark,2,336.0,1708151.108223999,1081.282502999995
2024-07-31,Naive Benchmark,2,336.0,1709157.6972459988,1006.5890219998546
2024-08-03,Naive Benchmark,2,336.0,1710585.9557599986,1428.25851399987
2024-08-04,Naive Benchmark,2,336.0,1713814.7849399988,3228.829180000117
2024-08-05,Naive Benchmark,2,336.0,1714192.1529509989,377.3680110001005
2024-08-06,Naive Benchmark,2,336.0,1715760.2478329989,1568.0948820000049
2024-08-08,Naive Benchmark,2,336.0,1716003.2546279987,243.00679499981925
2024-08-10,Naive Benchmark,2,336.0,1716630.4359999988,627.1813720001373
2024-08-11,Naive Benchmark,2,336.0,1718647.0784609988,2016.6424610000104
2024-08-13,Naive Benchmark,2,336.0,1719141.696683999,494.618223000085
2024-08-14,Naive Benchmark,2,336.0,1721621.526229999,2479.82954600011
2024-08-18,Naive Benchmark,2,336.0,1723624.3895729992,2002.8633430001792
2024-08-19,Naive Benchmark,2,336.0,1724023.5257039992,399.13613100000657
2024-08-20,Naive Benchmark,2,336.0,1726130.213948999,2106.688244999852
2024-08-23,Naive Benchmark,2,336.0,1728939.489198999,2809.275249999948
2024-08-24,Naive Benchmark,2,336.0,1733690.039738999,4750.550539999967
2024-08-25,Naive Benchmark,2,336.0,1739104.6485589992,5414.608820000198
2024-08-26,Naive Benchmark,2,336.0,1740737.056052999,1632.4074939999264
2024-08-27,Naive Benchmark,2,336.0,1743091.218291999,2354.1622389999684
2024-08-28,Naive Benchmark,2,336.0,1745137.7248749991,2046.5065830000676
2024-08-29,Naive Benchmark,1,168.0,1741639.8494499992,-3497.8754249999765
2024-08-30,Naive Benchmark,3,503.99999999999994,1747913.9025269991,6274.0530769999605
2024-08-31,Naive Benchmark,2,336.0,1749588.765038999,1674.862511999905
2024-09-01,Naive Benchmark,2,336.0,1750562.276159999,973.5111209999304
2024-09-02,Naive Benchmark,2,336.0,1751462.044213999,899.768054000102
2024-09-03,Naive Benchmark,2,336.0,1752595.071489999,1133.027276000008
2024-09-04,Naive Benchmark,2,336.0,1752827.2050899991,232.13360000005923
2024-09-05,Naive Benchmark,2,336.0,1753185.3194049993,358.11431500012986
2024-09-07,Naive Benchmark,2,336.0,1754962.2923889994,1776.9729840001091
2024-09-08,Naive Benchmark,2,336.0,1759902.1508249994,4939.858436000068
2024-09-09,Naive Benchmark,2,336.0,1761327.4267739994,1425.2759489999153
2024-09-10,Naive Benchmark,2,336.0,1761646.4210839993,318.99430999998003
2024-09-11,Naive Benchmark,2,336.0,1763269.3369139994,1622.9158300000709
2024-09-12,Naive Benchmark,2,336.0,1769092.0409209994,5822.704006999964
2024-09-13,Naive Benchmark,1,168.0,1764536.5201709995,-4555.520749999909
2024-09-14,Naive Benchmark,3,503.99999999999994,1771820.6767409993,7284.1565699998755
2024-09-15,Naive Benchmark,1,168.0,1771596.7726159994,-223.90412499988452
2024-09-16,Naive Benchmark,3,503.99999999999994,1781296.1334119996,9699.36079600011
2024-09-17,Naive Benchmark,1,168.0,1786641.4904869995,5345.357074999949
2024-09-18,Naive Benchmark,2,336.0,1791288.8097679995,4647.3192809999455
2024-09-19,Naive Benchmark,3,503.99999999999994,1802037.4440049992,10748.634236999787
2024-09-21,Naive Benchmark,2,336.0,1807139.5007569992,5102.056752000004
2024-09-22,Naive Benchmark,2,336.0,1811311.6109429991,4172.110185999889
